INFO  - 2016-09-01 23:37:10.212; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2016-09-01 23:37:10.213; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2016-09-01 23:37:10.213; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.214; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-09-01 23:37:10.214; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-09-01 23:37:10.215; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2016-09-01 23:37:10.981; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-09-01 23:37:10.989; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2016-09-01 23:37:11.237; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-09-01 23:37:11.248; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/conf/schema.xml
INFO  - 2016-09-01 23:37:11.336; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2016-09-01 23:37:11.840; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-09-01 23:37:11.858; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2016-09-01 23:37:11.859; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2016-09-01 23:37:11.947; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-09-01 23:37:11.956; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-09-01 23:37:12.105; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/
INFO  - 2016-09-01 23:37:12.124; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-09-01 23:37:12.192; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/, dataDir=/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/data/
INFO  - 2016-09-01 23:37:12.195; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-09-01 23:37:12.200; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-09-01 23:37:12.200; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-09-01 23:37:12.215; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/data
INFO  - 2016-09-01 23:37:12.252; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/data/index/
WARN  - 2016-09-01 23:37:12.253; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2016-09-01 23:37:12.264; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/data/index
INFO  - 2016-09-01 23:37:12.312; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-09-01 23:37:12.314; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-09-01 23:37:12.321; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-09-01 23:37:12.322; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-09-01 23:37:12.323; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-09-01 23:37:12.326; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-09-01 23:37:12.327; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-09-01 23:37:12.412; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-09-01 23:37:12.418; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-09-01 23:37:12.418; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-09-01 23:37:12.419; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-09-01 23:37:12.419; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-09-01 23:37:12.423; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.424; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-09-01 23:37:12.425; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
